ticker,days,pct_tag,fold_year,ensemble_rank,pool_rank,obj_score,score,precision,recall,accuracy,n_sig,features,has_model_pkl
AAPL,10,4,2025,1,14,0.8436,0.0148,0.7778,0.0946,0.7149,9,RSI_14|RSI_21|ROC_14|ATR_14|OBV|Dist_SMA_50|Dist_SMA_100|search_price_alignment_14d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,10,4,2025,2,33,0.8436,0.0136,0.7273,0.1081,0.7149,11,RSI_14|RSI_21|ROC_14|ATR_7|ATR_14|Dist_SMA_50|Dist_SMA_200|search_price_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,10,4,2025,3,64,0.8436,0.0127,0.6667,0.1622,0.719,18,RSI_14|RSI_21|ROC_14|MACD_12_26_9|MACD_signal_12_26_9|ADX_14|ATR_14|BB_Width_20|Dist_SMA_100|Dist_SMA_200|search_accel_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|adx_roc_14|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,10,4,2026,1,13,0.8674,0.0299,1.0,0.3125,0.8036,5,RSI_14|RSI_21|ROC_14|ATR_7|ATR_14|BB_Width_20|OBV|Dist_SMA_50|Dist_SMA_200|search_accel_alignment_14d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,10,4,2026,2,48,0.8674,0.0283,1.0,0.25,0.7857,4,RSI_14|RSI_21|ROC_14|ATR_14|OBV|Dist_SMA_100|search_price_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|adx_roc_14|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,10,4,2026,3,55,0.8674,0.0283,1.0,0.25,0.7857,4,RSI_14|RSI_21|ROC_14|ADX_14|ATR_14|Dist_SMA_100|search_price_alignment_14d|search_price_alignment_30d|search_accel_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,15,5,2025,1,24,0.865,0.018,0.7273,0.1143,0.7314,11,RSI_14|RSI_21|ROC_14|ATR_14|OBV|Dist_SMA_50|Dist_SMA_200|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|adx_roc_14|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,15,5,2025,2,44,0.865,0.0164,0.6667,0.1429,0.7314,15,RSI_14|RSI_21|ROC_14|ATR_7|ATR_14|BB_Width_20|Dist_SMA_100|search_price_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,15,5,2025,3,45,0.865,0.0164,0.6667,0.1429,0.7314,15,RSI_14|RSI_21|ROC_14|ADX_14|ATR_14|BB_Width_20|Dist_SMA_100|search_price_alignment_14d|search_accel_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
AAPL,15,5,2026,1,2,0.9472,0.0428,1.0,0.5385,0.8824,7,RSI_14|RSI_21|ROC_14|ADX_14|ATR_14|OBV|Dist_SMA_100|search_price_alignment_14d|search_accel_alignment_30d|sector_rel_30d|spy_rel_30d|gold_spy_rel_30d|eps_yoy_pct|eps_yoy_acceleration|days_since_earnings,False
